"Country","Status","Life.expectancy","Infant.deaths","Alcohol","Percentage.expenditure","Hepatitis.B","BMI","Polio","Diphteria","HIV.AIDS","GDP","Thinness.10.19.years","HDI","Schooling","Homicides","Fertility","Unemployment.rate..women"
"Egypt, Arab Rep.","Developing",71.482,2.29,0.15,5.36399841,95,29.8141113648001,95,95,0.000127055,3519.8732,2.8,0.694,7.2,3.94,3.27,24.003
"Spain","Developed",83.3292682926829,0.31,10.8,8.9523859,97,26.0463382980292,97,97,0.000129076,26505.3432,0.6,0.889,9.8,0.63,1.36,21.402
"Estonia","Developed",77.6414634146342,0.29,15.95,6.42956781,93,26.5767957270231,93,93,0,18437.2528,1.9,0.868,12.6,2.72,1.63,6.089
"Ethiopia","Developing",65.482,6.12,0.86,3.66298747,66,20.6150731589416,72,66,0.027740375,717.1246,10.4,0.457,2.7,7.71,4.2,7.829
"Fiji","Developing",67.175,2.5,2.41,3.27979708,99,27.9044240823009,99,99,0.002292529,5651.3181,4,0.738,10.8,2.31,2.52,11.764
"France","Developed",82.5731707317073,0.42,11.74,11.50134468,90,25.1923181860464,96,96,7.49354e-05,37037.3742,0.7,0.899,11.5,0.9,1.98,9.83
"Gabon","Developing",65.418,5.01,7.5,3.1076982,75,25.4198258345863,74,75,0.014443145,6984.451,6.1,0.698,8.2,8.78,3.79,23.386
"Georgia","Developing",73.207,1.14,7.51,8.42134666,92,27.7837010646371,92,92,0.000536552,4062.1699,2.7,0.776,12.8,2.35,2,10.082
"Ghana","Developing",63.124,5.18,1.62,3.46157742,93,23.9901060511065,95,93,0.02706978,1931.3895,6.2,0.588,7.1,6.21,3.98,5.881
"Guinea","Developing",60.17,8.87,0.35,5.39708233,47,22.9762177114414,48,47,0.01371562,732.2911,7.3,0.449,2.6,9.38,4.86,6.931
"Gambia, The","Developing",61.166,6.58,2.79,3.19347262,95,24.105403363295,95,95,0.03024467,690.7789,7.3,0.457,3.4,8.64,5.43,38.529
"Guinea-Bissau","Developing",57.328,8.74,3.1,7.65348768,88,23.5061827712572,89,88,0.061152231,661.4567,7.1,0.453,3,9.6,4.63,6.594
"Equatorial Guinea","Developing",57.713,9.28,7.26,3.14452434,53,24.2070105154907,55,53,0.107803048,9250.332,8.4,0.593,5.5,3.43,4.69,6.662
"Greece","Developed",81.3878048780488,0.51,6.37,8.21496582,96,27.2859958163837,99,99,9.27991e-05,18116.4597,0.8,0.868,10.8,0.85,1.31,28.194
"Guatemala","Developing",73.541,2.86,1.59,5.83935881,80,26.6608632510575,82,80,0.005054433,4173.3017,1.2,0.649,6.5,26.42,2.97,3.495
"Guyana","Developing",69.454,3.23,5.88,5.14076519,97,26.570073565469,94,97,0.005185606,5811.3753,5.5,0.652,8.4,22.8,2.51,15.648
"Honduras","Developing",74.701,1.89,2.54,7.69098616,94,26.9305876577894,94,94,0.000323597,2342.5847,2.1,0.614,6.5,63.1,2.46,9.757
"Croatia","Developed",78.0219512195122,0.47,10.39,6.82976627,92,27.6154814876248,93,93,0,12361.4838,1.5,0.828,11.3,1.22,1.46,13.8
"Haiti","Developing",62.896,7.34,2.72,8.43686771,64,25.4862226979555,64,64,0.016051705,1265.9876,3.9,0.496,5.2,20.7,2.92,15.687
"Indonesia","Developing",71.035,2.63,0.085,3.08569908,84,23.2455968963805,85,84,0.00366272,3562.8458,10.4,0.691,8,4.52,2.36,6.319
"India","Developing",68.897,4.16,2.97,3.51098323,88,21.9090964426014,86,88,0.001849741,1732.5643,26.7,0.636,6.4,3.89,2.33,4.143
"Ireland","Developed",81.6536585365854,0.36,11.22,7.4142108,95,27.6489705511625,95,95,0,63197.0824,0.3,0.934,12.5,0.79,1.99,6.519
"Iran, Islamic Rep.","Developing",76.047,1.55,0.023,8.85950661,99,26.3287170401811,99,99,0.00125685,5253.4249,8.5,0.796,9.8,3.28,1.66,19.189
"Iraq","Developing",70.122,3.13,0.16,3.2278583,73,28.9472397193263,77,73,0.001119893,4777.1976,5.3,0.672,6.7,15.8,4.37,24.992
"Israel","Developed",82.4073170731707,0.37,2.69,7.15261269,95,27.4763614231248,94,94,0.000351041,37321.624,1.2,0.902,13,1.51,2.97,4.943
"Italy","Developed",83.2439024390244,0.34,7.1,8.72533035,93,25.7532623584664,93,94,6.59767e-05,30939.7142,0.6,0.878,10.2,0.73,1.47,12.787
"Jamaica","Developing",74.175,1.57,3.38,5.70750713,98,27.921763295754,99,99,0.0027527,4843.3385,1.8,0.732,9.8,51.39,2.01,17.493
"Jordan","Developing",74.184,1.76,0.32,7.2834053,98,29.2965883087,98,98,0.000628176,4176.5889,4,0.735,10.4,2.82,3.38,26.922
"Kazakhstan","Developing",72.3,1.09,3.55,3.42235565,82,26.5759784758742,82,82,0.000730581,7714.8418,2.4,0.797,11.7,6.26,2.63,5.821
"Kenya","Developing",65.393,4.71,1.63,5.14090538,89,23.4070377665815,88,89,0.080873877,1410.5276,7.8,0.585,6.4,5.91,3.85,13.552
